id|groupe|nom|ministère_interrogé|rubrique|titre|date|question|question_clean
1|Libertés, Indépendants, Outre-mer et Territoires|M. Christophe Naegelen|Agriculture et souveraineté alimentaire|animaux|Cohabitation entre les randonneurs et les patous|05/07/2022|M. Christophe Naegelen interroge M. le ministre de l'agriculture et de la souveraineté alimentaire sur le statut particulier des « patous » communément appelés chiens de berger ainsi que sur les dispositifs mis en place pour permettre la cohabitation entre les randonneurs et les patous. Les chiens de berger protègent les troupeaux et ne sont pas considérés comme divaguant lorsqu'ils se trouvent sans laisse et à distance de leur maître depuis la loi n° 2005-157 du 23 février 2005 qui a modifié l'article L. 211-23 du code rural. Désormais, la loi libère « de toute poursuite pénale pour divagation, l'éleveur ou le propriétaire d'un chien affecté à la protection du troupeau (« patous ») ou à la garde de celui-ci (chien de conduite) ». Des études ont montré que les patous ne sont pas dangereux pour les hommes, ces chiens sont dressés pour dissuader et non pour blesser. Néanmoins, des cas d'agressions sont recensés et une forte part des randonneurs sont inquiets de croiser ces chiens. Des panneaux d'informations sont présents en montagne pour prévenir les promeneurs et leur donner les consignes à suivre en cas de présence des « patous ». Cependant, la période estivale qui arrive laisse présager une forte affluence de randonneurs dans les Hautes-Vosges ainsi que dans tous les massifs français. C'est pourquoi intensifier la prévention et l'installation de panneaux d'information dès lors que les randonneurs entrent dans une zone dans laquelle les « patous » sont présents semble être opportun. Il l'interpelle sur le développement de dispositifs permettant une meilleure cohabitation des randonneurs et des « patous », afin d'articuler les problématiques touchant à la protection des agriculteurs et celles relatives la protection de l'environnement.|interroge agriculture souveraineté alimentaire statut particulier patous communément appelés chiens berger dispositifs mis place permettre cohabitation randonneurs patous chiens berger protègent troupeaux considérés divaguant lorsqu' trouvent laisse distance maître loi n° 2005 157 23 février 2005 modifié article l. 211 23 code rural loi libère poursuite pénale divagation éleveur propriétaire chien affecté protection troupeau patous garde chien conduite études montré patous dangereux hommes chiens dressés dissuader non blesser cas agressions recensés forte part randonneurs inquiets croiser chiens panneaux informations présents montagne prévenir promeneurs donner consignes cas présence patous période estivale arrive laisse présager forte affluence randonneurs hautes-vosges massifs français intensifier prévention installation panneaux information randonneurs entrent zone patous présents opportun interpelle développement dispositifs permettant meilleure cohabitation randonneurs patous articuler problématiques protection agriculteurs relatives protection environnement
2|Les Républicains|M. Pierre Cordier|Transition écologique et cohésion des territoires|chasse et pêche|Pratique de la vénerie sous terre pour la régulation cynégétique|05/07/2022|M. Pierre Cordier appelle l'attention de Mme la ministre de la transition écologique et de la cohésion des territoires sur la pratique de la vénerie sous terre. Ce mode de chasse consiste à capturer blaireaux ou renards dans leur terrier. Cette pratique cynégétique s'inscrit également dans la nécessité de réguler ces espèces. Le blaireau est en effet à l'origine de nombreuses nuisances et dégâts. Il est capable de construire un réseau de galeries important, ce qui occasionne des dégâts aux cultures et peut menacer la sécurité de certaines constructions, comme les hangars agricoles. 80 % des prélèvements de blaireaux ont lieu au milieu des champs cultivés. La vénerie sous terre est un moyen efficace de réduire les dommages causés par le blaireau sans remettre en cause sa place dans l'écosystème. Cette pratique est très encadrée puisque, pour pouvoir chasser en vénerie sous terre, le maître d'équipage doit être titulaire du permis de chasser, détenir un certificat de vénerie délivré par l'Association française des équipages de vénerie sous terre et avoir en sa possession une attestation de meute délivrée par la DDT ou DDTM (direction départementale des territoires et de la mer). Ce certificat de vénerie est délivré par l'AFEVST au niveau national, après avis du délégué départemental portant notamment sur les moyens (chiens et équipements), sur les savoir-faire du demandeur et sur le respect des règles et de la charte établie par l'association. Le préfet fixe par arrêté préfectoral les dates et les modalités d'exercice de la vénerie sous terre. Les veneurs sous terre ont pour mission de mettre en place des actions de déterrage de telle manière à ce que les troubles pour la faune et la flore environnante soient les plus faibles possibles. Les terriers creusés par la main de l'homme - uniquement à l'aide de pelles et de pioches - doivent toujours être rebouchés après l'acte de chasse, de telle manière qu'ils puissent accueillir de nouveaux animaux par la suite. Pour toutes ces raisons, il souhaite avoir confirmation que le Gouvernement ne va pas remettre en cause cette pratique ancestrale indispensable à l'équilibre cynégétique.|appelle attention transition écologique cohésion territoires pratique vénerie terre mode chasse consiste capturer blaireaux renards terrier pratique cynégétique inscrit nécessité réguler espèces blaireau origine nuisances dégâts capable construire réseau galeries important occasionne dégâts cultures menacer sécurité constructions hangars agricoles 80 prélèvements blaireaux lieu milieu champs cultivés vénerie terre moyen efficace réduire dommages causés blaireau remettre cause place écosystème pratique encadrée pouvoir chasser vénerie terre maître équipage titulaire permis chasser détenir certificat vénerie délivré association française équipages vénerie terre possession attestation meute délivrée ddt ddtm direction départementale territoires mer certificat vénerie délivré afevst niveau national avis délégué départemental portant moyens chiens équipements savoir faire demandeur respect règles charte établie association préfet fixe arrêté préfectoral dates modalités exercice vénerie terre veneurs terre mission mettre place actions déterrage manière troubles faune flore environnante soient faibles terriers creusés main homme uniquement aide pelles pioches rebouchés acte chasse manière puissent accueillir nouveaux animaux suite raisons souhaite confirmation gouvernement remettre cause pratique ancestrale indispensable équilibre cynégétique
3|Démocrate (MoDem et Indépendants)|M. Frédéric Petit|Armées|défense|Défense - Union européenne - SCAF - MGCS - coopération militaire|05/07/2022|M. Frédéric Petit appelle l'attention de M. le ministre des armées sur les projets européens de coopération de défense que sont le système de combat aérien futur (SCAF) et le char de combat Main Ground Combat System (MGCS). L'agression russe en Ukraine rappelle chaque jour la nécessité d'augmenter les dépenses militaires et de développer des capacités de défense de manière collaborative au sein de l'Union européenne. Cela avait été souligné par l'ensemble des chefs d'État européens dans la déclaration de Versailles à l'issue du sommet européen extraordinaire du 10 et 11 mars 2022. Les partenaires allemands de la France ont en parallèle opéré un changement de cap historique en augmentant considérablement leurs dépenses militaires et en repensant leur rôle sur la scène internationale. M. le député note avec satisfaction ces évolutions tendant vers une politique de défense plus ambitieuse et qui montrent des signes réels de convergence avec les positions de la France. Il s'inquiète toutefois des difficultés et blocages que rencontrent les deux projets sus-cités. Ceux-ci relèvent d'une importance stratégique majeure pour l'Union européenne et ne sauraient, aux yeux du député, être retardés par des désaccords entre industriels. Il lui demande ainsi l'état d'avancement de ces projets et ce qu'il compte faire pour que ces projets puissent contribuer au plus vite à la sécurité de tous les Européens.|appelle attention armées projets européens coopération défense système combat aérien futur scaf char combat main ground combat system mgcs agression russe ukraine rappelle jour nécessité augmenter dépenses militaires développer capacités défense manière collaborative sein union européenne été souligné ensemble chefs état européens déclaration versailles issue sommet européen extraordinaire 10 11 mars 2022 partenaires allemands france parallèle opéré changement cap historique augmentant considérablement dépenses militaires repensant rôle scène internationale député note satisfaction évolutions tendant politique défense ambitieuse montrent signes réels convergence positions france inquiète toutefois difficultés blocages rencontrent projets sus-cités relèvent importance stratégique majeure union européenne sauraient yeux député retardés désaccords industriels demande état avancement projets compte faire projets puissent contribuer vite sécurité européens
4|Renaissance|Mme Marie-Pierre Rixain|Comptes publics|eau et assainissement|Recouvrement des impayés de redevances d'assainissement|05/07/2022|Mme Marie-Pierre Rixain appelle l'attention de M. le ministre délégué auprès du ministre de l'économie, des finances et de la souveraineté industrielle et numérique, chargé des comptes publics, sur la facturation et le recouvrement des impayés de redevances d'assainissement. Dans sa rédaction actuelle, l'article R. 2224-19-7 du code général des collectivités territoriales ne permet pas aux gestionnaires publics d'eau potable qui émettent une facture unique aux usagers avec les redevances associées (eau potable, assainissement, épuration) de mener de recours contentieux en matière d'assainissement. Concrètement, en cas d'impayé, d'un côté, les régies publiques de l'eau réclament la part d'eau potable et, de l'autre côté, les gestionnaires de l'assainissement celles concernant la collecte, le transport et l'épuration. Cet état de fait entraîne l'émission de titres de recouvrement par plusieurs parties, ce qui rend l'information complexe pour l'usager et demande un travail identique à tous les intervenants. Sans compter que le transfert au gestionnaire de l'assainissement concerné de la relance contentieuse constitue une distorsion de moyens entre les régies publiques et les entreprises privées qui interviennent via une délégation de service et qui sont autorisées à mener leurs recours en une seule procédure pour toutes les redevances. Aussi, au regard de la complexité des modalités de facturation et de recouvrement des redevances de consommation d'eau et d'assainissement, elle souhaite savoir si son ministère entend réfléchir à un nouveau système, à la fois plus simple, plus lisible et plus efficace.|appelle attention délégué auprès économie finances souveraineté industrielle numérique chargé comptes publics facturation recouvrement impayés redevances assainissement rédaction actuelle article r. 2224 19 7 code général collectivités territoriales gestionnaires publics eau potable émettent facture unique usagers redevances associées eau potable assainissement épuration mener recours contentieux matière assainissement concrètement cas impayé côté régies publiques eau réclament part eau potable côté gestionnaires assainissement collecte transport épuration état entraîne émission titres recouvrement parties information complexe usager demande travail identique intervenants compter transfert gestionnaire assainissement concerné relance contentieuse constitue distorsion moyens régies publiques entreprises privées interviennent délégation service autorisées mener recours procédure redevances regard complexité modalités facturation recouvrement redevances consommation eau assainissement souhaite savoir ministère entend réfléchir système fois simple lisible efficace
5|Libertés, Indépendants, Outre-mer et Territoires|M. Christophe Naegelen|Éducation nationale et jeunesse|enseignement|Conditions d'embauche d'assistants d'éducation en CDI|05/07/2022|M. Christophe Naegelen interroge M. le ministre de l'éducation nationale et de la jeunesse sur le décret devant définir les conditions d'embauche d'assistants d'éducation (AED) pour des contrats à durée indéterminée. Dans la loi n° 2003-400 du 30 avril 2003 fixant le statut des AED, il est prévu que ces derniers ne peuvent être engagés que par contrats de 3 ans maximum, renouvelables une fois et peuvent ainsi exercer 6 ans tout au plus en tant qu'AED. Or la loi n° 2022-299 du 2 mars 2022 visant à combattre le harcèlement scolaire prévoit, dans son article 10, la publication d'un décret définissant les conditions dans lesquelles l'État peut conclure un contrat à durée indéterminée avec une personne ayant exercé pendant six ans en qualité d'assistant d'éducation, en vue de poursuivre ses missions. Cette loi, qui vise la professionnalisation des assistants d'éducation, est une juste reconnaissance du rôle essentiel qu'ils jouent au sein des établissements scolaires. Il s'agit en effet d'une profession à part entière requérant de nombreuses compétences professionnelles et humaines. Pouvoir proposer des contrats à durée indéterminé aux AED ayant travaillé 6 ans en tant qu'assistants d'éducation est en cela une chance pour les établissements scolaires qu'elle leur permet de conserver un personnel expérimenté et motivé. Le décret définissant les conditions d'application de cette loi tarde toutefois à être publié. Il serait opportun que ce décret soit publié au plus vite, afin que les embauches nécessaires soient réalisées et que les établissements scolaires puissent constituer leurs équipes avant la rentrée de septembre. Il l'interroge ainsi sur la date de publication du décret définissant les conditions d'embauche d'AED pour une durée indéterminée.|interroge éducation nationale jeunesse décret définir conditions embauche assistants éducation aed contrats durée indéterminée loi n° 2003 400 30 avril 2003 fixant statut aed prévu derniers engagés contrats 3 ans maximum renouvelables fois exercer 6 ans aed loi n° 2022 299 2 mars 2022 visant combattre harcèlement scolaire prévoit article 10 publication décret définissant conditions état conclure contrat durée indéterminée exercé ans qualité assistant éducation vue poursuivre missions loi vise professionnalisation assistants éducation reconnaissance rôle essentiel jouent sein établissements scolaires agit profession part entière requérant compétences professionnelles humaines pouvoir proposer contrats durée indéterminé aed travaillé 6 ans assistants éducation chance établissements scolaires conserver personnel expérimenté motivé décret définissant conditions application loi tarde toutefois publié opportun décret publié vite embauches nécessaires soient réalisées établissements scolaires puissent constituer équipes rentrée septembre interroge date publication décret définissant conditions embauche aed durée indéterminée
6|Gauche démocrate et républicaine - NUPES|M. Stéphane Peu|Éducation nationale et jeunesse|enseignement|Crise dans l'éducation nationale: à quelle rentrée scolaire doit-on s'attendre ?|05/07/2022|M. Stéphane Peu interroge M. le ministre de l'éducation nationale et de la jeunesse sur l'organisation de la prochaine rentrée scolaire 2022-2023. En effet, à deux mois de cette rentrée, les syndicats enseignants s'alarment devant ce qu'ils qualifient très justement de « crise de recrutement la plus aigüe qu'ait connue l'éducation nationale ». Une crise qui, si elle existe déjà depuis plusieurs années, se manifeste aujourd'hui de manière encore plus accrue et préoccupante dans plusieurs académies et en particulier celle dont dépend la circonscription de M. le député : l'académie de Créteil. Ainsi, pour le seul concours externe de cette année on dénombre seulement 521 candidats admissibles pour 1 079 postes et ce n'est pas le recours à la liste complémentaire qui permettra de combler cet inquiétant déficit. Dans ce contexte, l'académie de Créteil, suivie par d'autres depuis, a lancé plusieurs opérations de Job dating afin de recruter rapidement en CDD du personnel. Des initiatives qui ne règlent rien sur la durée et ont de quoi inquiéter notamment parce qu'aucun module de formation n'est proposé pour accompagner les candidats ainsi recruter dans ce métier. Comme indiqué précédemment, cette crise n'est pas nouvelle mais elle aurait sans nul doute pu être évitée si l'institution avait accepté de travailler avec les organisations représentatives de l'éducation nationale. Car, en effet, de nombreuses propositions existent pour rendre le métier d'enseignant plus attractif : augmentation des salaires, amélioration des conditions de travail, mise en place des pré-recrutements, sécurisation des parcours et démocratisation de l'accès au métier. En tout état de cause, M. le député, indique être également très préoccupé par cette situation puisqu'une fois de plus ce sont les élèves des familles populaires, ayant le plus besoin de l'école, qui subissent le plus fortement cette dégradation du service public d'éducation. Dès lors, il souhaite connaître les mesures qu' il entend prendre pour permettre, d'une part, une rentrée scolaire apaisée en garantissant un enseignant dans chaque classe et, d'autre part, pour mettre fin rapidement à cette crise d'attractivité.|interroge éducation nationale jeunesse organisation prochaine rentrée scolaire 2022 2023 mois rentrée syndicats enseignants alarment qualifient justement crise recrutement aigüe connue éducation nationale crise existe années manifeste aujourd'hui manière accrue préoccupante académies particulier dépend circonscription député académie créteil concours externe année dénombre 521 candidats admissibles 1 079 postes recours liste complémentaire permettra combler inquiétant déficit contexte académie créteil suivie lancé opérations job dating recruter rapidement cdd personnel initiatives règlent rien durée inquiéter aucun module formation proposé accompagner candidats recruter métier indiqué précédemment crise nouvelle doute évitée institution accepté travailler organisations représentatives éducation nationale propositions existent métier enseignant attractif augmentation salaires amélioration conditions travail mise place pré-recrutements sécurisation parcours démocratisation accès métier état cause député indique préoccupé situation puisqu' fois élèves familles populaires besoin école subissent fortement dégradation service public éducation souhaite connaître mesures qu entend prendre permettre part rentrée scolaire apaisée garantissant enseignant classe part mettre fin rapidement crise attractivité
7|La France insoumise - Nouvelle Union Populaire écologique et sociale|M. Paul Vannier|Éducation nationale et jeunesse|enseignement|Crise de recrutement, mesures d'urgence pour la rentrée 2022|05/07/2022|M. Paul Vannier alerte M. le ministre de l'éducation nationale et de la jeunesse sur la crise de recrutement et ses conséquences sur la préparation de la rentrée scolaire de septembre 2022. L'école publique fait face à une difficulté croissante : recruter à chaque rentrée un nombre suffisant de professeurs pour répondre aux besoins éducatifs du pays. Cette année la situation s'est à nouveau aggravée, ce qui annonce une rentrée particulièrement difficile pour les élèves et les personnels de l'éducation nationale. Dans le premier degré, deux-tiers des postes ouverts aux concours n'ont pas été pourvus en Île-de-France. Il manquera, en septembre 2022, 62 professeurs dans l'académie de Paris, 660 celle de Créteil, 1 006 dans celle de Versailles. Dans le second degré, les admis aux concours sont moins nombreux que les postes ouverts dans un nombre croissant de disciplines. En sciences économiques et sociales 102 candidats ont été admis pour 121 postes disponibles. Dans plusieurs disciplines, avant même les résultats d'admission, on compte moins d'admissibles que de postes ouverts aux concours : 816 admissibles pour 1035 postes en mathématiques ; 83 admissibles pour 215 postes en allemand ; 60 pour 134 en lettres classiques. Ce désastre est la conséquence des politiques éducatives mises en œuvre pendant cinq ans par le précédent Gouvernement. L'austérité salariale, avec le gel prolongé du point d'indice de 2017 à 2022, a aggravé la paupérisation de la condition enseignante et éloigné une part croissante des étudiants se destinant autrefois aux concours. Les atteintes à la liberté pédagogique, la multiplication des hiérarchies intermédiaires ont profondément altéré l'exercice du métier d'enseignant. L'abandon des personnels, laissés sans masques FFP2 ni purificateurs d'air durant la crise sanitaire a fini de décourager nombre d'aspirants au si beau métier de professeur. La crise de recrutement qui frappe aujourd'hui l'éducation nationale est une alerte. L'école publique entre dans une crise semblable à celle que connaît déjà notre hôpital public. Faute de recrutements suffisants dès septembre 2022 les fermetures de classes et les non-remplacements se multiplieront. Le nombre moyen d'élèves par classe augmentera alors qu'il est déjà bien supérieur à la moyenne européenne. Il n'y a pas de fatalité. Seulement des choix politiques. La France est riche et dispose des moyens d'investir dans l'école publique pour éduquer notre jeunesse et relever avec elle les grands défis du futur. La Nouvelle union populaire écologique et sociale a travaillé un plan d'urgence visant à redonner de l'attractivité au métier d'enseignant afin de garantir à tous les élèves les meilleures conditions d'études qu'il soit possible de leur offrir. Elle propose la hausse immédiate du traitement des personnels de l'éducation nationale à travers l'augmentation de 10 % du point d'indice de la fonction publique et l'ouverture de négociations salariales avec les organisations syndicales représentatives de l'ensemble des personnels de l'éducation nationale, elle propose également un plan de pré-recrutement des enseignants ouvert dès le niveau bac et licence. Elle propose, enfin, la titularisation immédiate de l'ensemble des contractuels de l'éducation nationale. L'urgence commande de mobiliser tous les moyens dont le Gouvernement dispose pour recruter un nombre suffisant d'enseignants afin de garantir les meilleures conditions possibles à nos élèves lors de la prochaine rentrée. Quelles mesures le Gouvernement compte-t-il prendre dans les toutes prochaines semaines pour ce faire ?|alerte éducation nationale jeunesse crise recrutement conséquences préparation rentrée scolaire septembre 2022 école publique face difficulté croissante recruter rentrée nombre professeurs répondre besoins éducatifs pays année situation aggravée annonce rentrée particulièrement difficile élèves personnels éducation nationale degré tiers postes concours été pourvus île-de-france manquera septembre 2022 62 professeurs académie paris 660 créteil 1 006 versailles second degré admis concours postes nombre croissant disciplines sciences économiques sociales 102 candidats été admis 121 postes disponibles disciplines résultats admission compte admissibles postes concours 816 admissibles 1035 postes mathématiques 83 admissibles 215 postes allemand 60 134 lettres classiques désastre conséquence politiques éducatives mises œuvre ans précédent gouvernement austérité salariale gel prolongé point indice 2017 2022 aggravé paupérisation condition enseignante éloigné part croissante étudiants destinant autrefois concours atteintes liberté pédagogique multiplication hiérarchies intermédiaires profondément altéré exercice métier enseignant abandon personnels laissés masques ffp2 purificateurs air crise sanitaire fini décourager nombre aspirants beau métier professeur crise recrutement frappe aujourd'hui éducation nationale alerte école publique crise connaît hôpital public faute recrutements suffisants septembre 2022 fermetures classes non-remplacements multiplieront nombre moyen élèves classe augmentera bien supérieur moyenne européenne fatalité choix politiques france riche dispose moyens investir école publique éduquer jeunesse relever grands défis futur nouvelle union populaire écologique sociale travaillé plan urgence visant redonner attractivité métier enseignant garantir élèves meilleures conditions études offrir propose hausse immédiate traitement personnels éducation nationale travers augmentation 10 point indice fonction publique ouverture négociations salariales organisations syndicales représentatives ensemble personnels éducation nationale propose plan pré-recrutement enseignants niveau bac licence propose titularisation immédiate ensemble contractuels éducation nationale urgence commande mobiliser moyens gouvernement dispose recruter nombre enseignants garantir meilleures conditions élèves prochaine rentrée mesures gouvernement compte-t-il prendre prochaines semaines faire
8|Les Républicains|Mme Alexandra Martin (Alpes-Maritimes)|Santé et prévention|établissements de santé|Situation préoccupante des hôpitaux publics|05/07/2022|Mme Alexandra Martin (Alpes-Maritimes) appelle l'attention de Mme la ministre de la santé et de la prévention sur la situation préoccupante des hôpitaux publics, notamment face à la recrudescence des nouveaux variants du SARS-covid-2. En effet, la situation des services d'urgence risque de se dégrader dans les prochaines semaines : personnel en congé, épuisement physique et moral des soignants, pénurie de remplaçants, fermeture partielle de services de garde la nuit (120 à ce jour). Il y a urgence vitale pour l'hôpital public au sein duquel tensions sociales et grèves s'annoncent dès cet été. Aussi elle souhaiterait savoir quelles mesures d'urgence le Gouvernement entend mettre en œuvre dans les plus brefs délais, afin de permettre un accès aux soins pour les patients et des conditions de travail décentes pour les soignants et les personnels médicaux.|alpes maritimes appelle attention santé prévention situation préoccupante hôpitaux publics face recrudescence nouveaux variants sars covid-2 situation services urgence risque dégrader prochaines semaines personnel congé épuisement physique moral soignants pénurie remplaçants fermeture partielle services garde nuit 120 jour urgence vitale hôpital public sein tensions sociales grèves annoncent été souhaiterait savoir mesures urgence gouvernement entend mettre œuvre brefs délais permettre accès soins patients conditions travail décentes soignants personnels médicaux
9|Renaissance|Mme Marie-Pierre Rixain|Santé et prévention|femmes|Révision du cadre règlementaire de la périnatalité|05/07/2022|Mme Marie-Pierre Rixain attire l'attention de Mme la ministre de la santé et de la prévention sur la réorganisation des parcours de périnatalité. D'après les données de l'INSERM, les sages-femmes ont un rôle croissant en salle de naissance puisqu'elles réalisent aujourd'hui 87,4 % des accouchements par voie basse non instrumentale, contre 81 % en 2010. Si l'on considère l'organisation des parcours de santé en périnatalité et l'évolution de la demande des futurs parents (accompagnement, sécurité maximale et respect de la physiologie), il semble que les ratios des personnels tels que les décrets de 1998 les ont décrits soient obsolètes. À ce titre, la révision du nombre de sages-femmes devient incontournable afin de mieux organiser les différents secteurs médicaux au sein des maternités : secteurs d'activité non programmée (urgences gynécologie-obstétrique, salles de naissance) ; secteurs d'hospitalisation (suites de couches, grossesses à haut risque) ; secteurs de consultation (suivi de grossesse, explorations fonctionnelles, PMA, diagnostic anténatal). En outre, la Haute Autorité de santé (HAS) préconise, concernant la prise en charge de l'accouchement normal et l'accompagnement de l'accouchement physiologique, que toutes les femmes puissent bénéficier d'un soutien continu, individuel et personnalisé, adapté selon leur demande, au cours du travail et de l'accouchement. Aussi, il semble essentiel de proposer de nouveaux ratios de sages-femmes pour les activités non programmées sur la base d'une méthode de calcul qui prenne en compte la sécurité physique des femmes et des nouveau-nés ; la qualité et le temps d'accompagnement dédié ; la prévention, le dépistage et la prise en charge de pathologies ; le repérage de vulnérabilité, de violences ainsi que la précarité ; le temps administratif d'organisation ; le temps dédié à la qualité des soins selon les attendus de l'HAS. L'amélioration des conditions de l'accouchement et la lutte contre les violences obstétricales nécessitent une plus grande présence du personnel ; à cet égard, l'Académie de médecine préconisait récemment une sage-femme pour chaque femme en travail dans l'objectif d'individualiser les parcours et permettre une meilleure écoute de chacune des femmes enceintes. Elle souhaite donc l'interroger sur le nombre de sages-femmes en secteur d'activité non programmée que propose son ministère dans le cadre de l'actualisation des décrets de 1998.|attire attention santé prévention réorganisation parcours périnatalité données inserm sages femmes rôle croissant salle naissance puisqu' réalisent aujourd'hui 87,4 accouchements voie basse non instrumentale contre 81 2010 considère organisation parcours santé périnatalité évolution demande futurs parents accompagnement sécurité maximale respect physiologie ratios personnels décrets 1998 décrits soient obsolètes titre révision nombre sages femmes devient incontournable mieux organiser secteurs médicaux sein maternités secteurs activité non programmée urgences gynécologie obstétrique salles naissance secteurs hospitalisation suites couches grossesses haut risque secteurs consultation suivi grossesse explorations fonctionnelles pma diagnostic anténatal haute autorité santé has préconise prise charge accouchement normal accompagnement accouchement physiologique femmes puissent bénéficier soutien continu individuel personnalisé adapté demande cours travail accouchement essentiel proposer nouveaux ratios sages femmes activités non programmées base méthode calcul prenne compte sécurité physique femmes nés qualité temps accompagnement dédié prévention dépistage prise charge pathologies repérage vulnérabilité violences précarité temps administratif organisation temps dédié qualité soins attendus has amélioration conditions accouchement lutte contre violences obstétricales nécessitent grande présence personnel égard académie médecine préconisait récemment sage femme femme travail objectif individualiser parcours permettre meilleure écoute femmes enceintes souhaite interroger nombre sages femmes secteur activité non programmée propose ministère cadre actualisation décrets 1998
10|Renaissance|Mme Marie-Pierre Rixain|Santé et prévention|fonction publique hospitalière|Prime d'exercice en soins critiques pour les infirmières puéricultrices|05/07/2022|Mme Marie-Pierre Rixain appelle l'attention de Mme la ministre de la santé et de la prévention sur les conditions d'attribution de la prime d'exercice en soins critiques. En décembre 2021, le Premier ministre et le ministre des solidarités et de la santé ont annoncé une augmentation salariale de 100 euros nets mensuels pour les infirmiers travaillant en services de soins critiques dans les établissements de santé publics et privés à compter du 1er janvier 2022. Cette augmentation, qui prend la forme d'une prime pérenne et intégrée à la rémunération, a vocation à reconnaître la spécificité de l'exercice des fonctions d'infirmier au sein des différentes structures composant les soins critiques. Pour cela, le décret n° 2022-19 du 10 janvier 2022 est venu créer la prime d'exercice en soins critiques pour les infirmiers en soins généraux et les cadres de santé au sein de la fonction publique hospitalière. Son article 2 précise que bénéficieront de cette prime « les infirmiers régis par le décret du 30 novembre 1988 » parmi lesquels figure « le corps des puéricultrices ». Or les infirmières puéricultrices, un peu partout sur le territoire et notamment au sein du GHNE de Longjumeau, font état de leur exclusion du bénéfice de cette prime. Pour quelle raison les infirmières puéricultrices ne pourraient-elles pas prétendre à une prime liée à leur lieu et leurs conditions d'exercice, alors que leurs collègues en soins généraux et leurs cadres la perçoivent ? De même, il faut rappeler que les infirmières puéricultrices effectuent une année d'étude supplémentaire pour se spécialiser et qu'à ce jour cette spécialité n'est pas reconnue financièrement : en moyenne, une infirmière puéricultrice gagne 30 euros nets supplémentaires par mois par rapport à ses collègues non spécialisés. Faut-il voir dans cette grille salariale un message visant à décourager cette spécialisation, voire plus largement, les soins urgents autour du nouveau-né ? Aussi, elle lui demande ce qui justifie cette situation et quand son ministère entend verser cette prime aux infirmières puéricultrices conformément aux dispositions du décret n° 2022-19 du 10 janvier 2022.|appelle attention santé prévention conditions attribution prime exercice soins critiques décembre 2021 solidarités santé annoncé augmentation salariale 100 euros nets mensuels infirmiers travaillant services soins critiques établissements santé publics privés compter 1er janvier 2022 augmentation prend forme prime pérenne intégrée rémunération vocation reconnaître spécificité exercice fonctions infirmier sein structures composant soins critiques décret n° 2022 19 10 janvier 2022 venu créer prime exercice soins critiques infirmiers soins généraux cadres santé sein fonction publique hospitalière article 2 précise bénéficieront prime infirmiers régis décret 30 novembre 1988 figure corps puéricultrices infirmières puéricultrices partout territoire sein ghne longjumeau état exclusion bénéfice prime raison infirmières puéricultrices pourraient prétendre prime liée lieu conditions exercice collègues soins généraux cadres perçoivent faut rappeler infirmières puéricultrices effectuent année étude supplémentaire spécialiser jour spécialité reconnue financièrement moyenne infirmière puéricultrice gagne 30 euros nets supplémentaires mois rapport collègues non spécialisés faut -il voir grille salariale message visant décourager spécialisation voire largement soins urgents autour né demande justifie situation ministère entend verser prime infirmières puéricultrices conformément dispositions décret n° 2022 19 10 janvier 2022
