id|groupe|nom|ministère_interrogé|rubrique|titre|date|question|question_clean
1|Libertés, Indépendants, Outre-mer et Territoires|M. Christophe Naegelen|Agriculture et souveraineté alimentaire|animaux|Cohabitation entre les randonneurs et les patous|05/07/2022|M. Christophe Naegelen interroge M. le ministre de l'agriculture et de la souveraineté alimentaire sur le statut particulier des « patous » communément appelés chiens de berger ainsi que sur les dispositifs mis en place pour permettre la cohabitation entre les randonneurs et les patous. Les chiens de berger protègent les troupeaux et ne sont pas considérés comme divaguant lorsqu'ils se trouvent sans laisse et à distance de leur maître depuis la loi n° 2005-157 du 23 février 2005 qui a modifié l'article L. 211-23 du code rural. Désormais, la loi libère « de toute poursuite pénale pour divagation, l'éleveur ou le propriétaire d'un chien affecté à la protection du troupeau (« patous ») ou à la garde de celui-ci (chien de conduite) ». Des études ont montré que les patous ne sont pas dangereux pour les hommes, ces chiens sont dressés pour dissuader et non pour blesser. Néanmoins, des cas d'agressions sont recensés et une forte part des randonneurs sont inquiets de croiser ces chiens. Des panneaux d'informations sont présents en montagne pour prévenir les promeneurs et leur donner les consignes à suivre en cas de présence des « patous ». Cependant, la période estivale qui arrive laisse présager une forte affluence de randonneurs dans les Hautes-Vosges ainsi que dans tous les massifs français. C'est pourquoi intensifier la prévention et l'installation de panneaux d'information dès lors que les randonneurs entrent dans une zone dans laquelle les « patous » sont présents semble être opportun. Il l'interpelle sur le développement de dispositifs permettant une meilleure cohabitation des randonneurs et des « patous », afin d'articuler les problématiques touchant à la protection des agriculteurs et celles relatives la protection de l'environnement.|interroger agriculture souveraineté alimentaire statut particulier patous communément appeler chien berger mettre place cohabitation entrer randonneur patou chien berger protéger troupeau considérer divaguer trouver laisse distance maître loi numéro 2005 157 23 février 2005 modifier article L. 211 23 code rural loi libérer poursuite pénal divagation éleveur propriétaire chien affecter protection troupeau patous garde chien conduite étude montrer patou dangereux homme chien dresser dissuader blesser agression recenser fort randonneur inquiet croiser chien panneau information présent montagne prévenir promeneur donner consigne présence patous période estival arriver laisse présager fort affluence randonneur hautes-vosge massif français intensifier prévention installation panneau information randonneur entrer zone patous présent sembler opportun interpelle développement meilleur cohabitation randonneur patous articuler problématique toucher protection agriculteur relatif protection environnement
2|Les Républicains|M. Pierre Cordier|Transition écologique et cohésion des territoires|chasse et pêche|Pratique de la vénerie sous terre pour la régulation cynégétique|05/07/2022|M. Pierre Cordier appelle l'attention de Mme la ministre de la transition écologique et de la cohésion des territoires sur la pratique de la vénerie sous terre. Ce mode de chasse consiste à capturer blaireaux ou renards dans leur terrier. Cette pratique cynégétique s'inscrit également dans la nécessité de réguler ces espèces. Le blaireau est en effet à l'origine de nombreuses nuisances et dégâts. Il est capable de construire un réseau de galeries important, ce qui occasionne des dégâts aux cultures et peut menacer la sécurité de certaines constructions, comme les hangars agricoles. 80 % des prélèvements de blaireaux ont lieu au milieu des champs cultivés. La vénerie sous terre est un moyen efficace de réduire les dommages causés par le blaireau sans remettre en cause sa place dans l'écosystème. Cette pratique est très encadrée puisque, pour pouvoir chasser en vénerie sous terre, le maître d'équipage doit être titulaire du permis de chasser, détenir un certificat de vénerie délivré par l'Association française des équipages de vénerie sous terre et avoir en sa possession une attestation de meute délivrée par la DDT ou DDTM (direction départementale des territoires et de la mer). Ce certificat de vénerie est délivré par l'AFEVST au niveau national, après avis du délégué départemental portant notamment sur les moyens (chiens et équipements), sur les savoir-faire du demandeur et sur le respect des règles et de la charte établie par l'association. Le préfet fixe par arrêté préfectoral les dates et les modalités d'exercice de la vénerie sous terre. Les veneurs sous terre ont pour mission de mettre en place des actions de déterrage de telle manière à ce que les troubles pour la faune et la flore environnante soient les plus faibles possibles. Les terriers creusés par la main de l'homme - uniquement à l'aide de pelles et de pioches - doivent toujours être rebouchés après l'acte de chasse, de telle manière qu'ils puissent accueillir de nouveaux animaux par la suite. Pour toutes ces raisons, il souhaite avoir confirmation que le Gouvernement ne va pas remettre en cause cette pratique ancestrale indispensable à l'équilibre cynégétique.|appeler transition écologique cohésion territoire pratique vénerie sou terre mode chasse consister capturer blaireal renard terrier pratique cynégétique inscrire nécessité réguler espèce blaireau origine nuisance dégât capable construire réseau galerie important occasionner dégât culture menacer sécurité construction hangar agricole 80 prélèvement blaireau lieu milieu champ cultiver vénerie sou terre moyen efficace réduire dommage causer blaireau remettre cause place écosystème pratique encadrer chasser vénerie sou terre maître équipage devoir titulaire chasser détenir certificat vénerie délivrer association français équipage vénerie sou terre possession attestation meute délivrer ddt DDTM direction départemental territoire mer certificat vénerie délivrer afevst niveau national avis délégué départemental porter moyen chien équipement savoir demandeur respect règle charte établir association préfet fixe arrêté préfectoral date modalité exercice vénerie sou terre veneur sou terre mission mettre place action déterrage manière trouble faune flore environnant faible terrier creuser main homme uniquement aide pelle pioche devoir reboucher acte chasse manière accueillir animal suite raison souhaiter confirmation gouvernement aller remettre cause pratique ancestral indispensable équilibre cynégétique
3|Démocrate (MoDem et Indépendants)|M. Frédéric Petit|Armées|défense|Défense - Union européenne - SCAF - MGCS - coopération militaire|05/07/2022|M. Frédéric Petit appelle l'attention de M. le ministre des armées sur les projets européens de coopération de défense que sont le système de combat aérien futur (SCAF) et le char de combat Main Ground Combat System (MGCS). L'agression russe en Ukraine rappelle chaque jour la nécessité d'augmenter les dépenses militaires et de développer des capacités de défense de manière collaborative au sein de l'Union européenne. Cela avait été souligné par l'ensemble des chefs d'État européens dans la déclaration de Versailles à l'issue du sommet européen extraordinaire du 10 et 11 mars 2022. Les partenaires allemands de la France ont en parallèle opéré un changement de cap historique en augmentant considérablement leurs dépenses militaires et en repensant leur rôle sur la scène internationale. M. le député note avec satisfaction ces évolutions tendant vers une politique de défense plus ambitieuse et qui montrent des signes réels de convergence avec les positions de la France. Il s'inquiète toutefois des difficultés et blocages que rencontrent les deux projets sus-cités. Ceux-ci relèvent d'une importance stratégique majeure pour l'Union européenne et ne sauraient, aux yeux du député, être retardés par des désaccords entre industriels. Il lui demande ainsi l'état d'avancement de ces projets et ce qu'il compte faire pour que ces projets puissent contribuer au plus vite à la sécurité de tous les Européens.|appeler armée projet européen coopération défense système combat aérien futur SCAF char combat Main Ground Combat System MGCS agression russe ukraine rappeler nécessité augmenter dépense militaire développer capacité défense manière collaboratif sein Union européen celer souligner ensemble chef état européen déclaration Versailles issue sommet européen extraordinaire 10 11 mars 2022 partenaire allemand France parallèle opérer changement cap historique augmenter considérablement dépense militaire repenser rôle scène international député not satisfaction évolution tendre politique défense ambitieux montrer signe réel convergence position France inquiéter toutefois difficulté blocage rencontrer projet sus-cité relever importance stratégique majeur Union européen savoir oeil député retarder désaccord entrer industriel état avancement projet compte projet contribuer vite sécurité européen
4|Renaissance|Mme Marie-Pierre Rixain|Comptes publics|eau et assainissement|Recouvrement des impayés de redevances d'assainissement|05/07/2022|Mme Marie-Pierre Rixain appelle l'attention de M. le ministre délégué auprès du ministre de l'économie, des finances et de la souveraineté industrielle et numérique, chargé des comptes publics, sur la facturation et le recouvrement des impayés de redevances d'assainissement. Dans sa rédaction actuelle, l'article R. 2224-19-7 du code général des collectivités territoriales ne permet pas aux gestionnaires publics d'eau potable qui émettent une facture unique aux usagers avec les redevances associées (eau potable, assainissement, épuration) de mener de recours contentieux en matière d'assainissement. Concrètement, en cas d'impayé, d'un côté, les régies publiques de l'eau réclament la part d'eau potable et, de l'autre côté, les gestionnaires de l'assainissement celles concernant la collecte, le transport et l'épuration. Cet état de fait entraîne l'émission de titres de recouvrement par plusieurs parties, ce qui rend l'information complexe pour l'usager et demande un travail identique à tous les intervenants. Sans compter que le transfert au gestionnaire de l'assainissement concerné de la relance contentieuse constitue une distorsion de moyens entre les régies publiques et les entreprises privées qui interviennent via une délégation de service et qui sont autorisées à mener leurs recours en une seule procédure pour toutes les redevances. Aussi, au regard de la complexité des modalités de facturation et de recouvrement des redevances de consommation d'eau et d'assainissement, elle souhaite savoir si son ministère entend réfléchir à un nouveau système, à la fois plus simple, plus lisible et plus efficace.|appeler déléguer auprès économie finance souveraineté industriel numérique charger compte public facturation recouvrement impayé redevance assainissement rédaction actuel article r. 2224 19 7 code général collectivité territorial gestionnaire public eau potable émettre facture unique usager redevance associer eau potable assainissement épuration mener recours contentieux matière assainissement concrètement impayer côté régie public eau réclamer eau potable côté gestionnaire assainissement collecte transport épuration état entraîn émission titre recouvrement party information complexe usager travail identique intervenant compter transfert gestionnaire assainissement relance contentieux constituer distorsion moyen entrer régie public entreprise privé intervenir délégation service autoriser mener recours procédure redevance regard complexité modalité facturation recouvrement redevance consommation eau assainissement souhaiter savoir ministère entendre réfléchir système fois simple lisible efficace
5|Libertés, Indépendants, Outre-mer et Territoires|M. Christophe Naegelen|Éducation nationale et jeunesse|enseignement|Conditions d'embauche d'assistants d'éducation en CDI|05/07/2022|M. Christophe Naegelen interroge M. le ministre de l'éducation nationale et de la jeunesse sur le décret devant définir les conditions d'embauche d'assistants d'éducation (AED) pour des contrats à durée indéterminée. Dans la loi n° 2003-400 du 30 avril 2003 fixant le statut des AED, il est prévu que ces derniers ne peuvent être engagés que par contrats de 3 ans maximum, renouvelables une fois et peuvent ainsi exercer 6 ans tout au plus en tant qu'AED. Or la loi n° 2022-299 du 2 mars 2022 visant à combattre le harcèlement scolaire prévoit, dans son article 10, la publication d'un décret définissant les conditions dans lesquelles l'État peut conclure un contrat à durée indéterminée avec une personne ayant exercé pendant six ans en qualité d'assistant d'éducation, en vue de poursuivre ses missions. Cette loi, qui vise la professionnalisation des assistants d'éducation, est une juste reconnaissance du rôle essentiel qu'ils jouent au sein des établissements scolaires. Il s'agit en effet d'une profession à part entière requérant de nombreuses compétences professionnelles et humaines. Pouvoir proposer des contrats à durée indéterminé aux AED ayant travaillé 6 ans en tant qu'assistants d'éducation est en cela une chance pour les établissements scolaires qu'elle leur permet de conserver un personnel expérimenté et motivé. Le décret définissant les conditions d'application de cette loi tarde toutefois à être publié. Il serait opportun que ce décret soit publié au plus vite, afin que les embauches nécessaires soient réalisées et que les établissements scolaires puissent constituer leurs équipes avant la rentrée de septembre. Il l'interroge ainsi sur la date de publication du décret définissant les conditions d'embauche d'AED pour une durée indéterminée.|interroger éducation national jeunesse décret définir condition embauche assistant éducation aed contrat durée indéterminé loi numéro 2003 400 30 avril 2003 fixer statut AED prévoir engager contrat 3 an maximum renouvelable fois exercer 6 an AED loi numéro 2022 299 2 mars 2022 viser combattre harcèlement scolaire prévoit article 10 publication décret définir condition état conclure contrat durée indéterminer exercer an qualité assister éducation vue poursuivre mission loi viser professionnalisation assistant éducation reconnaissance rôle essentiel jouer sein établissement scolaire agir profession entier requérir compétence professionnel humain proposer contrat durée indéterminer AED travailler 6 an assistant éducation celer chance établissement scolaire conserver personnel expérimenté motiver décret définir condition application loi tard toutefois publier opportun décret publier vite embauche nécessaire réaliser établissement scolaire constituer équipe rentrée septembre interroge date publication décret définir condition embauche AED durée indéterminé
6|Gauche démocrate et républicaine - NUPES|M. Stéphane Peu|Éducation nationale et jeunesse|enseignement|Crise dans l'éducation nationale: à quelle rentrée scolaire doit-on s'attendre ?|05/07/2022|M. Stéphane Peu interroge M. le ministre de l'éducation nationale et de la jeunesse sur l'organisation de la prochaine rentrée scolaire 2022-2023. En effet, à deux mois de cette rentrée, les syndicats enseignants s'alarment devant ce qu'ils qualifient très justement de « crise de recrutement la plus aigüe qu'ait connue l'éducation nationale ». Une crise qui, si elle existe déjà depuis plusieurs années, se manifeste aujourd'hui de manière encore plus accrue et préoccupante dans plusieurs académies et en particulier celle dont dépend la circonscription de M. le député : l'académie de Créteil. Ainsi, pour le seul concours externe de cette année on dénombre seulement 521 candidats admissibles pour 1 079 postes et ce n'est pas le recours à la liste complémentaire qui permettra de combler cet inquiétant déficit. Dans ce contexte, l'académie de Créteil, suivie par d'autres depuis, a lancé plusieurs opérations de Job dating afin de recruter rapidement en CDD du personnel. Des initiatives qui ne règlent rien sur la durée et ont de quoi inquiéter notamment parce qu'aucun module de formation n'est proposé pour accompagner les candidats ainsi recruter dans ce métier. Comme indiqué précédemment, cette crise n'est pas nouvelle mais elle aurait sans nul doute pu être évitée si l'institution avait accepté de travailler avec les organisations représentatives de l'éducation nationale. Car, en effet, de nombreuses propositions existent pour rendre le métier d'enseignant plus attractif : augmentation des salaires, amélioration des conditions de travail, mise en place des pré-recrutements, sécurisation des parcours et démocratisation de l'accès au métier. En tout état de cause, M. le député, indique être également très préoccupé par cette situation puisqu'une fois de plus ce sont les élèves des familles populaires, ayant le plus besoin de l'école, qui subissent le plus fortement cette dégradation du service public d'éducation. Dès lors, il souhaite connaître les mesures qu' il entend prendre pour permettre, d'une part, une rentrée scolaire apaisée en garantissant un enseignant dans chaque classe et, d'autre part, pour mettre fin rapidement à cette crise d'attractivité.|interroger éducation national jeunesse organisation prochain rentrée scolaire 2022 2023 mois rentrée syndicat enseignant alarmer qualifier justement crise recrutement aigüe connaître éducation national crise exister année manifeste manière accrue préoccupant académie particulier dépendre circonscription député académie Créteil concours externe année dénombre 521 candidat admissible 1 079 poste recours liste complémentaire combler inquiétant déficit contexte académie Créteil depui lancer opération Job dating recruter rapidement cdd personnel initiative régler rien durée inquiéter aucun module formation proposer accompagner candidat recruter métier indiquer précédemment crise doute éviter institution accepter travailler organisation représentatif éducation national proposition exister métier enseigner attractif augmentation salaire amélioration condition travail mettre place pré-recrutement sécurisation parcours démocratisation accès métier état cause député indique préoccuper fois élève famille populaire besoin école subir fortement dégradation service public éducation souhaiter connaître mesure entendre prendre rentrée scolaire apaiser garantir enseignant classe mettre fin rapidement crise attractivité
7|La France insoumise - Nouvelle Union Populaire écologique et sociale|M. Paul Vannier|Éducation nationale et jeunesse|enseignement|Crise de recrutement, mesures d'urgence pour la rentrée 2022|05/07/2022|M. Paul Vannier alerte M. le ministre de l'éducation nationale et de la jeunesse sur la crise de recrutement et ses conséquences sur la préparation de la rentrée scolaire de septembre 2022. L'école publique fait face à une difficulté croissante : recruter à chaque rentrée un nombre suffisant de professeurs pour répondre aux besoins éducatifs du pays. Cette année la situation s'est à nouveau aggravée, ce qui annonce une rentrée particulièrement difficile pour les élèves et les personnels de l'éducation nationale. Dans le premier degré, deux-tiers des postes ouverts aux concours n'ont pas été pourvus en Île-de-France. Il manquera, en septembre 2022, 62 professeurs dans l'académie de Paris, 660 celle de Créteil, 1 006 dans celle de Versailles. Dans le second degré, les admis aux concours sont moins nombreux que les postes ouverts dans un nombre croissant de disciplines. En sciences économiques et sociales 102 candidats ont été admis pour 121 postes disponibles. Dans plusieurs disciplines, avant même les résultats d'admission, on compte moins d'admissibles que de postes ouverts aux concours : 816 admissibles pour 1035 postes en mathématiques ; 83 admissibles pour 215 postes en allemand ; 60 pour 134 en lettres classiques. Ce désastre est la conséquence des politiques éducatives mises en œuvre pendant cinq ans par le précédent Gouvernement. L'austérité salariale, avec le gel prolongé du point d'indice de 2017 à 2022, a aggravé la paupérisation de la condition enseignante et éloigné une part croissante des étudiants se destinant autrefois aux concours. Les atteintes à la liberté pédagogique, la multiplication des hiérarchies intermédiaires ont profondément altéré l'exercice du métier d'enseignant. L'abandon des personnels, laissés sans masques FFP2 ni purificateurs d'air durant la crise sanitaire a fini de décourager nombre d'aspirants au si beau métier de professeur. La crise de recrutement qui frappe aujourd'hui l'éducation nationale est une alerte. L'école publique entre dans une crise semblable à celle que connaît déjà notre hôpital public. Faute de recrutements suffisants dès septembre 2022 les fermetures de classes et les non-remplacements se multiplieront. Le nombre moyen d'élèves par classe augmentera alors qu'il est déjà bien supérieur à la moyenne européenne. Il n'y a pas de fatalité. Seulement des choix politiques. La France est riche et dispose des moyens d'investir dans l'école publique pour éduquer notre jeunesse et relever avec elle les grands défis du futur. La Nouvelle union populaire écologique et sociale a travaillé un plan d'urgence visant à redonner de l'attractivité au métier d'enseignant afin de garantir à tous les élèves les meilleures conditions d'études qu'il soit possible de leur offrir. Elle propose la hausse immédiate du traitement des personnels de l'éducation nationale à travers l'augmentation de 10 % du point d'indice de la fonction publique et l'ouverture de négociations salariales avec les organisations syndicales représentatives de l'ensemble des personnels de l'éducation nationale, elle propose également un plan de pré-recrutement des enseignants ouvert dès le niveau bac et licence. Elle propose, enfin, la titularisation immédiate de l'ensemble des contractuels de l'éducation nationale. L'urgence commande de mobiliser tous les moyens dont le Gouvernement dispose pour recruter un nombre suffisant d'enseignants afin de garantir les meilleures conditions possibles à nos élèves lors de la prochaine rentrée. Quelles mesures le Gouvernement compte-t-il prendre dans les toutes prochaines semaines pour ce faire ?|alerte éducation national jeunesse crise recrutement conséquence préparation rentrée scolaire septembre 2022 école public face difficulté croissant recruter rentrée suffire professeur répondre besoin éducatif pays année aggraver annoncer rentrée particulièrement difficile élève personnel éducation national degré tiers poste ouvrir concours pourvoir Île-de-France manquer septembre 2022 62 professeur académie Paris 660 Créteil 1 006 Versailles second degré admis concours poste ouvrir croissant discipline science économique social 102 candidat admettre 121 poste disponible discipline résultat admission compte admissible poste ouvrir concours 816 admissible 1035 poste mathématique 83 admissible 215 poste allemand 60 134 lettre classique désastre conséquence politique éducatif mettre œuvre an précédent Gouvernement austérité salarial gel prolonger point indice 2017 2022 aggraver paupérisation condition enseignant éloigner croissant étudiant destiner autrefoi concours atteinte liberté pédagogique multiplication hiérarchie intermédiaire profondément altéré exercice métier enseigner abandon personnel masque ffp2 purificateur air durer crise sanitaire finir décourager aspirant beau métier professeur crise recrutement frappe éducation national alerte école public entrer crise connaître hôpital public faute recrutement septembre 2022 fermeture classe non-remplacement multiplier moyen élève classe augmenter bien supérieur moyenne européen fatalité choix politique France riche dispose moyen investir école public éduquer jeunesse relever grand défi futur Nouvelle union populaire écologique social travailler plan urgence viser redonner attractivité métier enseigner garantir élève meilleur condition étude offrir proposer hausse immédiat traitement personnel éducation national travers augmentation 10 point indice fonction public ouverture négociation salarial organisation syndical représentatif ensemble personnel éducation national proposer plan pré-recrutement enseignant niveau bac licence proposer titularisation immédiat ensemble contractuel éducation national urgence command mobiliser moyen gouvernement disposer recruter suffire enseignant garantir meilleur condition élève prochaine rentrer mesure gouvernement compte-t-il prendre prochain semaine
8|Les Républicains|Mme Alexandra Martin (Alpes-Maritimes)|Santé et prévention|établissements de santé|Situation préoccupante des hôpitaux publics|05/07/2022|Mme Alexandra Martin (Alpes-Maritimes) appelle l'attention de Mme la ministre de la santé et de la prévention sur la situation préoccupante des hôpitaux publics, notamment face à la recrudescence des nouveaux variants du SARS-covid-2. En effet, la situation des services d'urgence risque de se dégrader dans les prochaines semaines : personnel en congé, épuisement physique et moral des soignants, pénurie de remplaçants, fermeture partielle de services de garde la nuit (120 à ce jour). Il y a urgence vitale pour l'hôpital public au sein duquel tensions sociales et grèves s'annoncent dès cet été. Aussi elle souhaiterait savoir quelles mesures d'urgence le Gouvernement entend mettre en œuvre dans les plus brefs délais, afin de permettre un accès aux soins pour les patients et des conditions de travail décentes pour les soignants et les personnels médicaux.|Alpes Maritimes appeler santé prévention préoccupant hôpital public face recrudescence variant SARS covid-2 service urgence risque dégrader prochain semaine personnel congé épuisement physique moral soignant pénurie remplaçant fermeture partiel service garde nuit 120 urgence vital hôpital public sein tension social grève annoncer souhaiter savoir mesure urgence gouvernement entendre mettre œuvre bref délai accès soin patient condition travail décent soignant personnel médical
9|Renaissance|Mme Marie-Pierre Rixain|Santé et prévention|femmes|Révision du cadre règlementaire de la périnatalité|05/07/2022|Mme Marie-Pierre Rixain attire l'attention de Mme la ministre de la santé et de la prévention sur la réorganisation des parcours de périnatalité. D'après les données de l'INSERM, les sages-femmes ont un rôle croissant en salle de naissance puisqu'elles réalisent aujourd'hui 87,4 % des accouchements par voie basse non instrumentale, contre 81 % en 2010. Si l'on considère l'organisation des parcours de santé en périnatalité et l'évolution de la demande des futurs parents (accompagnement, sécurité maximale et respect de la physiologie), il semble que les ratios des personnels tels que les décrets de 1998 les ont décrits soient obsolètes. À ce titre, la révision du nombre de sages-femmes devient incontournable afin de mieux organiser les différents secteurs médicaux au sein des maternités : secteurs d'activité non programmée (urgences gynécologie-obstétrique, salles de naissance) ; secteurs d'hospitalisation (suites de couches, grossesses à haut risque) ; secteurs de consultation (suivi de grossesse, explorations fonctionnelles, PMA, diagnostic anténatal). En outre, la Haute Autorité de santé (HAS) préconise, concernant la prise en charge de l'accouchement normal et l'accompagnement de l'accouchement physiologique, que toutes les femmes puissent bénéficier d'un soutien continu, individuel et personnalisé, adapté selon leur demande, au cours du travail et de l'accouchement. Aussi, il semble essentiel de proposer de nouveaux ratios de sages-femmes pour les activités non programmées sur la base d'une méthode de calcul qui prenne en compte la sécurité physique des femmes et des nouveau-nés ; la qualité et le temps d'accompagnement dédié ; la prévention, le dépistage et la prise en charge de pathologies ; le repérage de vulnérabilité, de violences ainsi que la précarité ; le temps administratif d'organisation ; le temps dédié à la qualité des soins selon les attendus de l'HAS. L'amélioration des conditions de l'accouchement et la lutte contre les violences obstétricales nécessitent une plus grande présence du personnel ; à cet égard, l'Académie de médecine préconisait récemment une sage-femme pour chaque femme en travail dans l'objectif d'individualiser les parcours et permettre une meilleure écoute de chacune des femmes enceintes. Elle souhaite donc l'interroger sur le nombre de sages-femmes en secteur d'activité non programmée que propose son ministère dans le cadre de l'actualisation des décrets de 1998.|santé prévention réorganisation parcours périnatalité donnée inserm sage femme rôle croître salle naissance réaliser 87,4 accouchement voie instrumental contre 81 2010 considérer organisation parcours santé périnatalité évolution futur parent accompagnement sécurité maximal respect physiologie sembler ratio personnel décret 1998 décrire obsolète titre révision sage femme devenir incontournable mieux organiser secteur médical sein maternité secteur activité programmée urgence gynécologi obstétrique salle naissance secteur hospitalisation suite couche grossesse haut risque secteur consultation grossesse exploration fonctionnel PMA diagnostic anténatal haute Autorité santé HAS préconiser prise charge accouchement normal accompagnement accouchement physiologique femme bénéficier soutien continu individuel personnaliser adapter cours travail accouchement sembler essentiel proposer ratio sage femme activité programmer base méthode calcul prendre compte sécurité physique femme naître qualité temps accompagnement dédier prévention dépistage prise charge pathologie repérage vulnérabilité violence précarité temps administratif organisation temps dédier qualité soin HAS amélioration condition accouchement lutte contre violence obstétrical nécessiter grand présence personnel égard académie médecine préconiser récemment sage femme femme travail objectif individualiser parcours meilleur écoute femme enceinte souhaiter interroger sage femme secteur activité programmée proposer ministère cadre actualisation décret 1998
10|Renaissance|Mme Marie-Pierre Rixain|Santé et prévention|fonction publique hospitalière|Prime d'exercice en soins critiques pour les infirmières puéricultrices|05/07/2022|Mme Marie-Pierre Rixain appelle l'attention de Mme la ministre de la santé et de la prévention sur les conditions d'attribution de la prime d'exercice en soins critiques. En décembre 2021, le Premier ministre et le ministre des solidarités et de la santé ont annoncé une augmentation salariale de 100 euros nets mensuels pour les infirmiers travaillant en services de soins critiques dans les établissements de santé publics et privés à compter du 1er janvier 2022. Cette augmentation, qui prend la forme d'une prime pérenne et intégrée à la rémunération, a vocation à reconnaître la spécificité de l'exercice des fonctions d'infirmier au sein des différentes structures composant les soins critiques. Pour cela, le décret n° 2022-19 du 10 janvier 2022 est venu créer la prime d'exercice en soins critiques pour les infirmiers en soins généraux et les cadres de santé au sein de la fonction publique hospitalière. Son article 2 précise que bénéficieront de cette prime « les infirmiers régis par le décret du 30 novembre 1988 » parmi lesquels figure « le corps des puéricultrices ». Or les infirmières puéricultrices, un peu partout sur le territoire et notamment au sein du GHNE de Longjumeau, font état de leur exclusion du bénéfice de cette prime. Pour quelle raison les infirmières puéricultrices ne pourraient-elles pas prétendre à une prime liée à leur lieu et leurs conditions d'exercice, alors que leurs collègues en soins généraux et leurs cadres la perçoivent ? De même, il faut rappeler que les infirmières puéricultrices effectuent une année d'étude supplémentaire pour se spécialiser et qu'à ce jour cette spécialité n'est pas reconnue financièrement : en moyenne, une infirmière puéricultrice gagne 30 euros nets supplémentaires par mois par rapport à ses collègues non spécialisés. Faut-il voir dans cette grille salariale un message visant à décourager cette spécialisation, voire plus largement, les soins urgents autour du nouveau-né ? Aussi, elle lui demande ce qui justifie cette situation et quand son ministère entend verser cette prime aux infirmières puéricultrices conformément aux dispositions du décret n° 2022-19 du 10 janvier 2022.|appeler santé prévention condition attribution prime exercice soin critique décembre 2021 solidarité santé annoncer augmentation salarial 100 euro net mensuel infirmier travailler service soin critique établissement santé public priver compter janvier 2022 augmentation prendre forme prime pérenne intégrer rémunération vocation reconnaître spécificité exercice fonction infirmier sein structure composer soin critique celer décret numéro 2022 19 10 janvier 2022 venir créer prime exercice soin critique infirmier soin général cadre santé sein fonction public hospitalier article 2 préciser bénéficier prime infirmier régir décret 30 novembre 1988 figurer corps puériculteur infirmier puéricultrice partout territoire sein ghne Longjumeau état exclusion bénéfice prime raison infirmier puéricultrice prétendr prime lier lieu condition exercice collègue soin général cadre perçoivent falloir rappeler infirmier puéricultrice effectuer année étude supplémentaire spécialiser spécialité reconnaître financièremer moyenne infirmier puéricultric gagne 30 euro net supplémentaire mois rapport collègue spécialiser Faut voir grille salarial message viser décourager spécialisation voire largement soin urgent autour naître justifier ministère entendre verser prime infirmier puéricultrice conformément disposition décret numéro 2022 19 10 janvier 2022
